name,rating,reviews_count
At Papas - את פאפאס,4.7,564
NG BURGER & STEAK,4.5,2443
Prozdor,4.5,9260
Fat Cow,4.3,3860
Benz Brothers,4.6,1436
Brodstein Burger,4.7,69
Meatbar burger דיזנגוף,4.5,267
Holstein burger ibn gvirol,4.6,186
Benz Brothers,4.6,2761
HaGarage,4.0,4273
America Burgers,4.4,5868
The Little Burger Shop,4.3,2823
26 Hamburger Gourmet,4.4,4510
Beta Café,4.0,1535
Hudson Brasserie,4.5,9094
Goocha Ramat Hahayal,4.5,3508
POMO,4.4,3794
בוצ'רי דה ברילוצ'ה Butchery de Bariloche,4.2,3102
Burgus Burger Bar,4.2,2741
Avantgarde,3.9,1539
Segev Express,4.1,4982
גרינברג בורגר Grinberg Burger,3.7,134
Burgers Bar,4.0,464
Lokal burger,4.1,98
GDB,4.4,2935
Bodega Burger | בודגה בורגר,4.5,709
אגאדיר בורגר נמל תל אביב,3.8,4585
Burgers Bar,4.4,670
Vitrina,4.5,6847
Nono Mimi,4.4,1209
Greco,4.0,10176
Blue Beach,3.3,1675
McDonald's,3.6,780
Zuk Farm,4.2,2013
Junky Burger ג'אנקי בורגר,4.6,329
Burger station 23 בורגר סטיישן,4.6,1730
Vitrina,4.5,3930
"Memphis ממפיס תל אביב | המבורגר פרימיום כשר בד""צ בית יוסף",4.5,2407
פינת השלושה | מסעדת בשרים בתל אביב| מאכלים בוכריים| כשר,4.1,3115
Rainbow,4.6,1438
McDonald's,3.4,178
Meatbar,4.5,3014
Burgerim,4.2,258
Little burger shop (park hamesila) - חנות ההמבורגר הקטנה (פארק המסילה),4.1,69
Dede bar florentin דדה פלורנטין,4.7,1353
Lenny's,4.4,806
Tabby's,4.8,96
Lokal Burger,3.9,438
PORT 19 חשמונאים,4.4,4149
Tony and Esther,4.4,1416
Poopik Public House,4.0,2125
McDonald's,2.8,120
Shuffle Bar,4.6,2752
Rosh Haeer Shawarma,4.5,909
Hamashbir,4.6,362
מא פאו Ma Pau,4.1,2154
Choco Lulu,4.2,3492
Wolfnights Yehuda Maccabi,3.5,1082
Barrio 66,4.4,717
El Vecino,4.4,2325
Cafe Zorik,4.3,3797
Garger HaZahav,4.4,1668
Lorenz & Mintz,4.3,1691
Hanan Margilan,4.5,1767
Salimi Resturant,4.4,218
Opa,4.1,900
מסעדת ושבעת וברכת,3.9,1061
JAPANIKA QUICK TEL AVIV,3.1,101
Porter & Sons,4.5,4900
Meat Bar Burger,4.1,703
Jango Burger,4.0,340
Port 19 שלמה המלך -כשר,4.4,2427
Goodness,4.5,2369
B12 TLV,4.6,1650
Port 19,4.3,464
Agadir,3.3,3807
Black Bar 'n Burger,3.3,688
Burger King,3.6,454
Makom Shel Basar,4.5,3412
M25,4.5,3889
McDonald's,3.1,2081
Hatraklin Meat & Wine Bistro,4.5,3982
Beer Garden,4.3,3222
McDonald's,3.3,353
McDonald's,3.4,1376
Coffee Bar Express,4.6,3999
Kai Beach,3.7,1924
Turkiz Restaurant,4.3,2045
Popina,4.3,2248
Café Noir,4.4,4943
HaBasta,4.1,1992
Peacock,4.0,1011
The Prince,4.3,3061
R48 CHEF'S TABLE,4.4,166
Goshen,4.1,2863
Milgo Milbar,4.3,1868
North Abraxas by Eyal Shani,4.0,1640
Bayern Market,3.6,562
Oban Koban,4.1,2928
האחים,4.5,5880
Dixie,4.1,7662
Abie,4.5,1609
תחנת האוכל - תל אביב (כשר) BEST PRICE IN TOWN,4.7,509
Benedict,4.1,3067
Burgerim Carlebach Tel Aviv,3.9,424
McDonald's,3.4,451
HaGeula Bar,4.5,507
Burgeranch,3.1,171
Schnitt,4.5,2234
claro;,4.5,7065
מטרו,4.4,198
Lager & Ale,4.6,2409
Frank,4.2,1000
Yaffo Tel Aviv,4.3,3816
Tiger Lilly,4.1,1824
Israeli Arusa,4.5,637
Miznon,4.0,907
Dubnov 8,4.0,2664
Café Nimrod,3.6,1413
Mifgash HaSteak,3.9,881
Pundak Ayalon,4.2,990
2C,3.8,2446
McDonald's,2.7,210
Go Noodles,3.9,551
BBB יגאל אלון,3.9,3078
Mercato,4.4,104
הדוכן שלוש עשרה,4.2,131
