name,rating,reviews_count
Fat Cow,4.0,1825
Benz Brothers,4.5,457
Brodstein Burger,4.7,31
Holstein burger ibn gvirol,4.4,44
Benz Brothers,4.4,1098
HaGarage,4.0,431
America Burgers,4.1,2452
The Little Burger Shop,4.1,1194
26 Hamburger Gourmet,4.0,1577
beta café TLV,3.9,517
hudson brasserie,4.4,4147
goocha ramat hahayal,4.7,702
POMO,4.4,1484
בוצ'רי דה ברילוצ'ה Butchery de Bariloche,4.0,799
Burgus Burger Bar TLV,4.0,1243
Avantgarde,3.5,626
Segev Express,3.9,1931
גרינברג בורגר Grinberg Burger,3.3,34
Burgers Bar,4.0,49
lokal burger,4.3,30
GDB,4.2,474
Bodega Burger | בודגה בורגר,4.5,242
אגאדיר בורגר נמל תל אביב,4.3,572
Burgers Bar,4.4,144
Vitrina,4.0,1895
Nono Mimi TLV,3.9,226
Blue Beach,2.7,273
McDonald's,3.4,155
Burger station 23 בורגר סטיישן,4.4,255
"Memphis ממפיס תל אביב | המבורגר פרימיום כשר בד""צ בית יוסף",4.2,795
פינת השלושה | מסעדת בשרים בתל אביב| מאכלים בוכריים| כשר,4.0,434
McDonald's,3.0,69
Meatbar,4.0,1482
Burgerim,4.2,39
dede bar florentin דדה פלורנטין,4.9,551
Lenny's,3.9,190
tabby's,4.9,10
port 19 חשמונאים,4.9,1534
Tony and Esther,4.1,656
poopik public house,4.0,468
Rosh Haeer Shawarma,4.4,280
Hamashbir,4.5,167
מא פאו Ma Pau,4.0,590
Choco Lulu,4.3,1582
Wolfnights Yehuda Maccabi,3.2,275
Barrio 66,4.2,164
Cafe Zorik,4.2,994
garger hazahav,4.3,343
Lorenz & Mintz,4.6,446
Hanan Margilan,4.4,274
Salimi Resturant,4.1,76
Opa,3.5,232
מסעדת ושבעת וברכת,3.7,418
JAPANIKA QUICK TEL AVIV,2.5,42
Porter & Sons,4.4,1704
Meat Bar Burger,3.6,205
Jango Burger,3.6,131
port 19 שלמה המלך -כשר,4.0,678
Goodness TLV,4.5,534
B12 TLV,3.7,327
Agadir,2.9,794
Black Bar 'n Burger,3.7,167
burger king,3.5,98
makom shel basar,4.0,1281
M25,4.1,1885
McDonald's,2.5,680
Hatraklin Meat & Wine Bistro,4.3,1575
Beer Garden,4.3,1588
McDonald's,3.2,105
McDonald's,3.6,149
Kai Beach,3.7,655
Turkiz Restaurant,4.1,896
popina,4.6,543
Café Noir,4.0,656
The Prince,4.1,1530
Milgo Milbar,3.5,861
North Abraxas by Eyal Shani,3.9,250
bayern market,4.0,73
Oban Koban,4.0,531
האחים,4.2,1384
Dixie,4.3,1484
Abie,4.0,480
תחנת האוכל - תל אביב (כשר) best price in town,4.7,119
Benedict,4.1,630
Burgerim Carlebach Tel Aviv,3.6,57
McDonald's,3.0,89
HaGeula Bar,4.8,233
Burgeranch,2.6,71
schnitt,4.0,1067
מטרו,4.3,62
Yaffo Tel Aviv,4.3,1252
Tiger Lilly,3.8,726
Israeli Arusa,4.0,277
Miznon,3.9,446
café nimrod TLV,3.8,658
pundak ayalon,4.0,431
2C,3.7,949
McDonald's TLV,2.1,76
BBB יגאל אלון,4.0,428
הדוכן שלוש עשרה,3.8,38
McDonald's,2.5,28
captain burger,4.2,319
Landwer Café,3.4,306
m25 ברודצקי,3.6,348
Red Meat,3.0,351
Joker,3.9,14
Beer Garden,4.5,1634
Little Prague Restaurant,4.1,962
café cucu,4.3,824
molly bloom's,4.7,770
Stolero,4.1,645
Sabich Frishman,4.2,1021
Villa Mare,4.6,552
cafexoho TLV,3.8,774
Dizengoff Cafe,4.3,1175
Market Vegan Restaurant,4.5,182
Rova Tel Aviv,4.1,257
puzzle food,3.8,15
Moses Shop,3.4,19
hamosad for special sandwiches,3.6,449
calypso,3.8,650
Greco beach,4.0,449
Lala Land,3.3,398
Leny Bar,3.7,461
olive,3.3,107
Pankina TLV,4.0,503
Concierge TLV,3.6,481
pfc-popa family company,4.1,79
bar gurion,4.0,217
Pastel restaurant מסעדת פאסטל,4.8,1471
Meatos,4.2,363
PennePasta Bar - Kosher,4.2,163
zota pizza,4.2,344
Arale Pizza,4.2,742
mcdonald's,2.7,1081
Goocha Dizengoff,4.1,2217
חג׳ כחיל,4.1,1424
McDonald's,2.2,88
פסטה ויה אבן גבירול | Pasta Via,4.0,275
SAVTA sandwich,4.2,71
Dabush,3.0,340
McDonald's,3.2,81
Fish Market by Meatos,2.8,227
uno italiano gungo TLV,4.3,401
yulia tlv,4.0,1723
fantastic TLV,4.1,488
Café Nimrod TLV,3.6,1866
Shaabi Shawarma,3.9,91
Pita Montana,4.2,111
white pergola,4.4,720
Benny the Fisherman - Tel Aviv Port,3.2,1179
oshi oshi,3.2,450
black,2.8,97
arnold TLV,4.6,271
Gluteria,4.6,95
la guardia grill bar,3.3,400
מקדונלד'ס - קניון אילון - קומת הכניסה,2.6,187
joseph 'n sons,4.3,395
Market Bakery Marzouk and Azar,4.6,16
